,work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_location,company_size
2,2020,SE,FT,109024,50,GB,M
4,2020,SE,FT,150000,50,US,L
5,2020,EN,FT,72000,100,US,L
6,2020,SE,FT,190000,100,US,S
8,2020,MI,FT,135000,100,US,L
13,2020,MI,FT,87000,100,US,L
14,2020,MI,FT,85000,100,US,L
17,2020,SE,FT,114047,100,GB,S
19,2020,MI,FT,56000,100,US,M
23,2020,MI,FT,98000,0,US,M
25,2020,EX,FT,325000,100,US,L
28,2020,EN,CT,100000,100,US,L
29,2020,SE,FT,117104,50,CA,L
31,2020,EN,FT,70000,100,US,L
32,2020,SE,FT,68428,100,US,L
33,2020,MI,FT,450000,0,US,M
36,2020,MI,FT,103000,100,US,L
37,2020,EN,FT,250000,50,US,L
39,2020,EN,FT,138000,100,US,S
40,2020,MI,FT,45760,100,US,S
43,2020,MI,FT,106000,100,US,L
44,2020,MI,FT,112872,50,GB,L
46,2020,MI,FT,76958,100,GB,S
47,2020,SE,FT,188000,100,US,L
48,2020,MI,FT,105000,100,US,L
51,2020,EN,FT,91000,100,US,L
54,2020,SE,FL,60000,100,US,S
57,2020,MI,FT,118000,100,US,M
58,2020,SE,FT,120000,50,US,L
59,2020,MI,FT,138350,100,US,M
60,2020,MI,FT,110000,100,US,L
61,2020,MI,FT,130800,100,US,M
63,2020,SE,FT,412000,100,US,L
67,2020,SE,FT,190200,100,US,M
68,2020,EN,FT,105000,100,US,S
72,2021,EN,FT,82528,50,GB,L
73,2021,EX,FT,150000,100,US,L
74,2021,EX,FT,235000,100,US,L
76,2021,MI,FT,100000,100,US,M
78,2021,MI,CT,270000,100,US,L
79,2021,EN,FT,80000,100,US,M
81,2021,MI,FT,140000,100,US,L
82,2021,MI,FT,54238,50,CA,L
87,2021,MI,FT,110000,100,US,L
88,2021,SE,FT,170000,100,US,L
89,2021,SE,FT,80000,100,US,S
93,2021,SE,FT,276000,0,US,L
96,2021,EN,PT,12000,100,US,S
97,2021,MI,FT,450000,100,US,L
98,2021,EN,FT,70000,100,US,M
99,2021,MI,FT,95746,100,US,S
100,2021,MI,FT,75000,0,US,L
101,2021,SE,FT,150000,100,US,L
102,2021,MI,FT,36259,50,US,L
103,2021,MI,FT,62000,0,US,L
104,2021,MI,FT,73000,0,US,L
105,2021,MI,FT,51519,50,GB,L
106,2021,MI,FT,187442,100,CA,L
107,2021,SE,FT,115000,100,US,S
108,2021,SE,FT,150000,100,US,M
111,2021,SE,FT,113476,100,GB,M
112,2021,SE,FT,103160,100,GB,S
113,2021,EN,PT,12000,100,US,M
115,2021,EN,FT,225000,100,US,L
118,2021,EN,FT,90000,100,US,S
119,2021,MI,FT,200000,100,US,L
121,2021,SE,FT,200000,100,US,M
122,2021,EN,FT,50000,100,US,M
123,2021,EN,FT,110037,0,GB,L
125,2021,MI,FT,151000,100,US,L
126,2021,SE,FT,120000,50,US,S
132,2021,MI,FT,38400,100,US,M
134,2021,EN,FT,100000,0,US,S
135,2021,MI,FT,90000,100,US,M
138,2021,SE,FT,220000,0,US,L
139,2021,EN,FT,80000,100,US,M
140,2021,MI,FT,135000,100,US,L
141,2021,SE,FT,240000,0,US,L
142,2021,SE,FT,150000,0,US,L
143,2021,MI,FT,82500,100,US,S
144,2021,MI,FT,100000,100,US,L
147,2021,MI,FT,90000,100,US,L
148,2021,SE,FT,153000,100,US,L
149,2021,SE,FT,160000,100,US,S
151,2021,MI,FT,150000,100,US,M
152,2021,MI,FT,75774,100,CA,L
154,2021,SE,FT,144000,100,US,L
155,2021,SE,FT,127221,50,CA,L
157,2021,MI,FT,423000,50,US,L
158,2021,SE,FT,120000,100,US,M
159,2021,EN,FT,125000,100,US,S
165,2021,SE,FT,165000,100,US,L
166,2021,EN,FT,80000,100,US,L
167,2021,EX,FT,250000,0,US,L
168,2021,EN,FT,55000,50,US,S
169,2021,MI,FT,150000,100,US,L
170,2021,MI,FT,170000,100,US,L
171,2021,MI,FT,82528,100,GB,L
172,2021,EN,FT,60000,100,US,S
173,2021,SE,FT,235000,100,US,L
175,2021,SE,FT,174000,100,US,L
178,2021,EN,FT,81000,50,US,S
179,2021,MI,FT,5679,100,US,S
182,2021,MI,FT,26005,0,US,L
183,2021,SE,FT,61896,50,GB,L
186,2021,SE,FT,50000,100,GB,M
188,2021,SE,FT,76833,50,GB,S
193,2021,SE,FT,174000,100,US,L
194,2021,SE,FT,96113,50,CA,L
195,2021,MI,FT,147000,50,US,L
198,2021,SE,FT,54094,50,US,L
199,2021,EN,FT,90000,100,US,S
201,2021,SE,FT,195000,100,US,M
203,2021,SE,FT,50000,100,US,S
204,2021,MI,FT,160000,100,US,L
206,2021,SE,FT,200000,100,US,L
207,2021,SE,FT,165000,0,US,M
208,2021,MI,FL,20000,0,US,L
209,2021,SE,FT,120000,0,US,L
212,2021,MI,FT,66022,50,GB,S
215,2021,SE,FT,185000,100,US,L
219,2021,SE,FT,140000,100,US,L
221,2021,MI,FT,116914,50,GB,L
223,2021,MI,FT,56256,50,GB,L
224,2021,SE,FT,225000,100,CA,L
225,2021,EX,CT,416000,100,US,S
226,2021,SE,FT,87738,100,CA,S
228,2021,SE,FT,135000,0,US,L
229,2021,SE,FT,71786,100,CA,M
231,2021,SE,FT,256000,100,US,S
232,2021,SE,FT,200000,100,US,L
233,2021,SE,FT,200000,100,US,L
234,2021,MI,FT,180000,100,US,L
235,2021,MI,FT,110000,0,US,S
236,2021,MI,FT,63810,100,CA,M
240,2021,SE,FT,103691,100,CA,L
241,2021,MI,FT,80000,100,US,L
242,2021,MI,FT,110000,100,US,L
243,2021,SE,FT,165000,100,US,L
245,2021,MI,FT,72212,50,GB,L
248,2021,SE,FT,96282,50,GB,L
249,2021,SE,FT,170000,100,US,M
250,2021,MI,FT,115000,50,US,L
251,2021,EN,FT,90000,100,US,S
252,2021,EX,FT,600000,100,US,L
254,2021,MI,FT,93000,100,US,L
255,2021,SE,FT,99703,50,CA,M
256,2021,MI,FT,200000,100,US,L
258,2021,SE,FT,185000,50,US,L
260,2021,MI,FT,130000,50,US,L
265,2021,SE,FT,160000,50,US,S
266,2021,MI,FT,93150,0,US,M
267,2021,MI,FT,111775,0,US,M
270,2021,EN,FT,72500,100,US,L
275,2021,EN,FT,100000,100,US,M
276,2021,EN,FT,58000,50,US,L
280,2021,MI,FT,112000,100,US,L
283,2021,SE,CT,105000,100,US,M
287,2021,MI,FT,109000,50,US,L
289,2022,SE,FT,135000,100,US,M
290,2022,SE,FT,155000,100,US,M
291,2022,SE,FT,120600,100,US,M
292,2022,MI,FT,130000,0,US,M
293,2022,MI,FT,90000,0,US,M
294,2022,MI,FT,170000,100,US,M
295,2022,MI,FT,150000,100,US,M
296,2022,SE,FT,102100,100,US,M
297,2022,SE,FT,84900,100,US,M
298,2022,SE,FT,136620,100,US,M
299,2022,SE,FT,99360,100,US,M
300,2022,SE,FT,117789,0,GB,M
301,2022,SE,FT,104702,0,GB,M
302,2022,SE,FT,146000,100,US,M
303,2022,SE,FT,123000,100,US,M
304,2022,EN,FT,52351,100,GB,M
305,2022,SE,FT,99000,0,US,M
306,2022,SE,FT,116000,0,US,M
307,2022,MI,FT,106260,0,US,M
308,2022,MI,FT,126500,0,US,M
309,2022,EX,FT,242000,100,US,M
310,2022,EX,FT,200000,100,US,M
311,2022,MI,FT,65438,0,GB,M
312,2022,MI,FT,39263,0,GB,M
313,2022,MI,FT,78526,0,GB,M
314,2022,MI,FT,52351,0,GB,M
315,2022,SE,FT,165220,100,US,M
316,2022,EN,FT,45807,100,GB,M
317,2022,SE,FT,120160,100,US,M
318,2022,SE,FT,90320,100,US,M
319,2022,SE,FT,181940,0,US,M
320,2022,SE,FT,132320,0,US,M
321,2022,SE,FT,220110,0,US,M
322,2022,SE,FT,160080,0,US,M
323,2022,SE,FT,180000,0,US,L
324,2022,SE,FT,120000,0,US,L
325,2022,SE,FT,124190,100,US,M
326,2022,EX,FT,130000,100,US,M
327,2022,EX,FT,110000,100,US,M
328,2022,SE,FT,170000,100,US,M
329,2022,MI,FT,115500,100,US,M
330,2022,SE,FT,112900,100,US,M
331,2022,SE,FT,90320,100,US,M
332,2022,SE,FT,112900,100,US,M
333,2022,SE,FT,90320,100,US,M
334,2022,SE,FT,165400,100,US,M
335,2022,SE,FT,132320,100,US,M
336,2022,MI,FT,167000,100,US,M
337,2022,SE,FT,243900,100,US,M
338,2022,SE,FT,136600,100,US,M
339,2022,SE,FT,109280,100,US,M
340,2022,SE,FT,128875,100,US,M
341,2022,SE,FT,93700,100,US,M
342,2022,EX,FT,224000,100,US,M
343,2022,EX,FT,167875,100,US,M
344,2022,EX,FT,175000,100,US,M
345,2022,SE,FT,156600,100,US,M
346,2022,SE,FT,108800,0,US,M
347,2022,SE,FT,95550,0,US,M
348,2022,SE,FT,113000,0,US,L
349,2022,SE,FT,135000,100,US,M
350,2022,SE,FT,161342,100,US,M
351,2022,SE,FT,137141,100,US,M
352,2022,SE,FT,167000,100,US,M
353,2022,SE,FT,123000,100,US,M
354,2022,SE,FT,78526,0,GB,M
355,2022,SE,FT,65438,0,GB,M
356,2022,SE,FT,150000,0,US,M
357,2022,SE,FT,211500,100,US,M
358,2022,SE,FT,192400,100,CA,M
359,2022,SE,FT,90700,100,CA,M
360,2022,SE,FT,130000,100,CA,M
361,2022,SE,FT,61300,100,CA,M
362,2022,SE,FT,130000,100,CA,M
363,2022,SE,FT,61300,100,CA,M
364,2022,SE,FT,160000,0,US,L
365,2022,SE,FT,138600,100,US,M
366,2022,SE,FT,136000,0,US,M
367,2022,MI,FT,58000,0,US,S
368,2022,EX,FT,135000,100,US,M
369,2022,SE,FT,170000,100,US,M
370,2022,SE,FT,123000,100,US,M
371,2022,SE,FT,189650,0,US,M
372,2022,SE,FT,164996,0,US,M
375,2022,EX,FT,118187,100,CA,S
376,2022,SE,FT,132000,0,US,M
377,2022,SE,FT,165400,100,US,M
378,2022,SE,FT,208775,100,US,M
379,2022,SE,FT,147800,100,US,M
380,2022,SE,FT,136994,100,US,M
381,2022,SE,FT,101570,100,US,M
382,2022,SE,FT,128875,100,US,M
383,2022,SE,FT,93700,100,US,M
385,2022,SE,FT,132320,100,US,M
386,2022,EN,FT,37300,100,GB,L
387,2022,SE,FT,164000,0,US,M
388,2022,SE,FT,155000,100,US,M
389,2022,MI,FT,124333,0,GB,M
390,2022,MI,FT,98158,0,GB,M
391,2022,MI,FT,120000,0,US,M
392,2022,SE,FT,112900,100,US,M
393,2022,SE,FT,90320,100,US,M
394,2022,SE,FT,145000,100,US,M
395,2022,SE,FT,105400,100,US,M
397,2022,MI,FT,117789,0,GB,M
398,2022,SE,FT,215300,100,US,L
399,2022,SE,FT,158200,100,US,L
400,2022,SE,FT,209100,100,US,L
401,2022,SE,FT,154600,100,US,L
402,2022,SE,FT,115934,0,US,M
403,2022,SE,FT,81666,0,US,M
404,2022,SE,FT,175000,100,US,M
405,2022,MI,FT,98158,0,GB,M
406,2022,MI,FT,58000,0,US,S
407,2022,SE,FT,183600,100,US,L
408,2022,MI,FT,52351,100,GB,M
409,2022,SE,FT,180000,100,US,M
410,2022,MI,FT,71982,0,GB,M
411,2022,MI,FT,45807,0,GB,M
414,2022,MI,FT,78526,100,GB,M
415,2022,MI,FT,58894,100,GB,M
416,2022,SE,FT,260000,100,US,M
418,2022,MI,FT,63900,0,US,M
419,2022,MI,FT,160000,100,US,L
420,2022,MI,FT,112300,100,US,L
421,2022,MI,FT,241000,100,US,M
422,2022,MI,FT,159000,100,US,M
423,2022,SE,FT,180000,0,US,M
424,2022,SE,FT,80000,0,US,M
425,2022,MI,FT,82900,0,US,M
426,2022,SE,FT,100800,100,US,L
428,2022,SE,FT,140400,0,US,L
429,2022,MI,FT,39263,100,GB,M
434,2022,MI,FT,104702,100,GB,M
435,2022,MI,FT,91614,100,GB,M
438,2022,SE,FT,189650,0,US,M
439,2022,SE,FT,164996,0,US,M
442,2022,MI,FT,98158,100,GB,M
443,2022,MI,FT,78526,100,GB,M
444,2022,SE,FT,215300,0,US,L
446,2022,SE,FT,209100,100,US,L
447,2022,SE,FT,154600,100,US,L
448,2022,SE,FT,180000,100,US,M
450,2022,SE,FT,80000,100,US,M
451,2022,MI,FT,78791,100,CA,M
452,2022,EX,FT,196979,50,CA,L
453,2022,MI,FT,120000,100,US,S
454,2022,EN,FT,125000,0,US,M
455,2022,MI,FT,37236,50,US,L
456,2022,SE,FT,105000,100,US,M
461,2022,EN,FT,100000,50,US,L
465,2022,EN,FT,120000,100,US,M
466,2022,SE,FT,144000,50,US,L
467,2022,SE,FT,104890,100,US,M
468,2022,SE,FT,100000,100,US,M
469,2022,SE,FT,140000,100,US,M
470,2022,MI,FT,135000,100,US,M
471,2022,MI,FT,50000,100,US,M
472,2022,SE,FT,220000,100,US,M
473,2022,SE,FT,140000,100,US,M
474,2022,MI,FT,183228,0,GB,M
475,2022,MI,FT,91614,0,GB,M
476,2022,SE,FT,185100,100,US,M
477,2022,SE,FT,220000,100,US,M
478,2022,MI,FT,200000,100,US,M
479,2022,MI,FT,120000,100,US,M
482,2022,EX,FT,324000,100,US,M
483,2022,EX,FT,216000,100,US,M
484,2022,SE,FT,210000,100,US,M
485,2022,SE,FT,120000,100,US,M
486,2022,SE,FT,230000,100,US,M
488,2022,MI,FL,100000,100,US,M
490,2022,SE,FT,200000,100,US,M
491,2022,MI,FT,75000,100,CA,S
493,2022,SE,FT,78791,100,CA,M
494,2022,SE,FT,100000,100,US,M
495,2022,MI,FT,153000,50,US,M
497,2022,SE,FT,165000,100,US,M
499,2022,EN,FT,52396,100,CA,L
504,2022,SE,FT,115000,100,US,M
506,2022,MI,FT,75000,100,US,L
508,2022,EN,FT,120000,100,US,L
509,2022,MI,FT,157000,100,US,L
511,2022,MI,FT,70912,50,CA,L
512,2022,EN,FT,65000,100,US,S
515,2022,MI,FT,48000,100,US,S
516,2022,SE,FT,152500,100,US,M
519,2022,SE,FT,380000,100,US,L
520,2022,MI,FT,69336,100,CA,M
523,2022,SE,FT,405000,100,US,L
524,2022,MI,FT,135000,100,US,L
525,2022,SE,FT,177000,100,US,L
526,2022,MI,FT,78000,100,US,M
527,2022,SE,FT,135000,100,US,M
528,2022,SE,FT,100000,100,US,M
529,2022,SE,FT,90320,100,US,M
530,2022,MI,FT,85000,0,CA,M
531,2022,MI,FT,75000,0,CA,M
532,2022,SE,FT,214000,100,US,M
533,2022,SE,FT,192600,100,US,M
534,2022,SE,FT,266400,100,US,M
535,2022,SE,FT,213120,100,US,M
536,2022,SE,FT,112900,100,US,M
537,2022,SE,FT,155000,100,US,M
538,2022,MI,FT,141300,0,US,M
539,2022,MI,FT,102100,0,US,M
540,2022,SE,FT,115934,100,US,M
541,2022,SE,FT,81666,100,US,M
542,2022,MI,FT,206699,0,US,M
543,2022,MI,FT,99100,0,US,M
544,2022,SE,FT,130000,100,US,M
545,2022,SE,FT,115000,100,US,M
546,2022,SE,FT,110500,100,US,M
547,2022,SE,FT,130000,100,US,M
548,2022,SE,FT,99050,100,US,M
549,2022,SE,FT,160000,100,US,M
550,2022,SE,FT,205300,0,US,L
551,2022,SE,FT,140400,0,US,L
552,2022,SE,FT,176000,100,US,M
553,2022,SE,FT,144000,100,US,M
554,2022,SE,FT,200100,100,US,M
555,2022,SE,FT,160000,100,US,M
556,2022,SE,FT,145000,100,US,M
557,2022,SE,FT,70500,0,US,M
558,2022,SE,FT,205300,0,US,M
559,2022,SE,FT,140400,0,US,M
560,2022,SE,FT,205300,0,US,M
561,2022,SE,FT,184700,0,US,M
562,2022,SE,FT,175100,100,US,M
563,2022,SE,FT,140250,100,US,M
564,2022,SE,FT,116150,100,US,M
565,2022,SE,FT,54000,0,US,M
566,2022,SE,FT,170000,100,US,M
567,2022,MI,FT,65438,0,GB,M
568,2022,SE,FT,80000,100,US,M
569,2022,SE,FT,140000,100,US,M
570,2022,SE,FT,210000,100,US,M
571,2022,SE,FT,140000,100,US,M
572,2022,SE,FT,100000,100,US,M
573,2022,SE,FT,69000,100,US,M
574,2022,SE,FT,210000,100,US,M
575,2022,SE,FT,140000,100,US,M
576,2022,SE,FT,210000,100,US,M
577,2022,SE,FT,150075,100,US,M
578,2022,SE,FT,100000,100,US,M
579,2022,SE,FT,25000,100,US,M
580,2022,SE,FT,126500,100,US,M
581,2022,SE,FT,106260,100,US,M
582,2022,SE,FT,220110,100,US,M
583,2022,SE,FT,160080,100,US,M
584,2022,SE,FT,105000,100,US,M
585,2022,SE,FT,110925,100,US,M
586,2022,MI,FT,45807,0,GB,M
587,2022,SE,FT,140000,100,US,M
588,2022,SE,FT,99000,0,US,M
589,2022,SE,FT,60000,100,US,M
590,2022,SE,FT,192564,100,US,M
591,2022,SE,FT,144854,100,US,M
592,2022,SE,FT,230000,100,US,M
593,2022,SE,FT,150000,100,US,M
594,2022,SE,FT,150260,100,US,M
595,2022,SE,FT,109280,100,US,M
596,2022,SE,FT,210000,100,US,M
597,2022,SE,FT,170000,100,US,M
598,2022,MI,FT,160000,100,US,M
599,2022,MI,FT,130000,100,US,M
600,2022,EN,FT,67000,0,CA,M
601,2022,EN,FT,52000,0,CA,M
602,2022,SE,FT,154000,100,US,M
603,2022,SE,FT,126000,100,US,M
604,2022,SE,FT,129000,0,US,M
605,2022,SE,FT,150000,100,US,M
606,2022,MI,FT,200000,100,US,L
